scen,state,cost,opt_cost,regret,regret_share,offshore_gene,onshore_gene,PV_gene,battery_gene,methanation_gene,LCOE1,LCOE2,LC,str_loss,Price,Regret%,
158,216,24.43,23.53,0.9,0.036839951,56.93,227.67,173.85,6.78,11.61,42.32,57.51,15.83,6.76,30.25,,
158,217,24.08,22.71,1.37,0.056893688,56.93,227.67,173.85,8.82,11.88,41.77,56.68,15.46,6.97,22.64,,
158,218,24.63,23.46,1.17,0.047503045,56.93,227.67,173.85,8.82,11.88,42.78,57.98,15.46,6.97,22.64,,
158,219,25.18,23.89,1.29,0.051231136,56.93,227.67,173.85,8.82,11.88,43.79,59.28,15.46,6.97,22.64,,
158,220,24.28,22.94,1.34,0.055189456,56.93,227.67,173.85,6.78,11.61,42.05,57.15,15.83,6.76,26.41,,
158,221,24.83,23.75,1.08,0.043495771,56.93,227.67,173.85,6.78,11.61,43.05,58.45,15.83,6.76,26.41,,
158,222,25.38,24.23,1.15,0.045311269,56.93,227.67,173.85,6.78,11.61,44.06,59.76,15.83,6.76,26.41,,
158,223,24.47,23.05,1.42,0.058030241,56.93,227.67,173.85,6.78,11.61,42.39,57.6,15.83,6.76,30.25,,
158,224,25.02,23.91,1.11,0.044364508,56.93,227.67,173.85,6.78,11.61,43.4,58.9,15.83,6.76,30.25,,
158,225,25.57,24.41,1.16,0.045365663,56.93,227.67,173.85,6.78,11.61,44.41,60.21,15.83,6.76,30.25,,
158,226,21.14,18.02,3.12,0.147587512,56.93,227.67,173.85,8.82,11.88,36.35,49.72,15.46,6.97,22.63,,
158,227,21.69,18.81,2.88,0.132780083,56.93,227.67,173.85,8.82,11.88,37.36,51.02,15.46,6.97,22.63,,
158,228,22.24,19.27,2.97,0.133543165,56.93,227.67,173.85,8.82,11.88,38.38,52.32,15.46,6.97,22.63,,
158,229,21.33,19.26,2.07,0.097046414,56.93,227.67,173.85,6.78,11.61,36.64,50.17,15.83,6.76,26.41,,
158,230,21.88,20,1.88,0.085923218,56.93,227.67,173.85,6.78,11.61,37.65,51.47,15.83,6.76,26.41,,
158,231,22.43,20.48,1.95,0.086937138,56.93,227.67,173.85,6.78,11.61,38.66,52.77,15.83,6.76,26.41,,
158,232,21.52,20.09,1.43,0.066449814,56.93,227.67,173.85,6.78,11.61,36.99,50.62,15.83,6.76,30.25,,
