scen,offshore,onshore,pv,battery,methanation,offshore,onshore,pv,battery,methanation
296,238.8101121,139.7363357,39.23139049,15.95096264,143.4108636,25%,25%,central,50%,central
297,238.8101121,139.7363357,39.23139049,15.95096264,215.1162955,25%,25%,central,50%,50%
298,238.8101121,139.7363357,48.56368762,5.316987546,71.70543182,25%,25%,25%,-50%,-50%
299,238.8101121,139.7363357,48.56368762,5.316987546,143.4108636,25%,25%,25%,-50%,central
300,238.8101121,139.7363357,48.56368762,5.316987546,215.1162955,25%,25%,25%,-50%,50%
301,238.8101121,139.7363357,48.56368762,10.63397509,71.70543182,25%,25%,25%,central,-50%
302,238.8101121,139.7363357,48.56368762,10.63397509,143.4108636,25%,25%,25%,central,central
303,238.8101121,139.7363357,48.56368762,10.63397509,215.1162955,25%,25%,25%,central,50%
304,238.8101121,139.7363357,48.56368762,15.95096264,71.70543182,25%,25%,25%,50%,-50%
305,238.8101121,139.7363357,48.56368762,15.95096264,143.4108636,25%,25%,25%,50%,central
306,238.8101121,139.7363357,48.56368762,15.95096264,215.1162955,25%,25%,25%,50%,50%
307,238.8101121,139.7363357,57.89598475,5.316987546,71.70543182,25%,25%,50%,-50%,-50%
308,238.8101121,139.7363357,57.89598475,5.316987546,143.4108636,25%,25%,50%,-50%,central
309,238.8101121,139.7363357,57.89598475,5.316987546,215.1162955,25%,25%,50%,-50%,50%
310,238.8101121,139.7363357,57.89598475,10.63397509,71.70543182,25%,25%,50%,central,-50%
311,238.8101121,139.7363357,57.89598475,10.63397509,143.4108636,25%,25%,50%,central,central
312,238.8101121,139.7363357,57.89598475,10.63397509,215.1162955,25%,25%,50%,central,50%
313,238.8101121,139.7363357,57.89598475,15.95096264,71.70543182,25%,25%,50%,50%,-50%
314,238.8101121,139.7363357,57.89598475,15.95096264,143.4108636,25%,25%,50%,50%,central
315,238.8101121,139.7363357,57.89598475,15.95096264,215.1162955,25%,25%,50%,50%,50%
