"hour","offshore","onshore","pv","river","lake","biogas","gas","phs1","phs2","battery","hydrogen","methanation","demand","Pump1","Pump2","ElecStr","H2","CH4","Bat_SOC","PHS1_SOC","PHS2_SOC","H2_SOC","CH4_SOC","elec_price","gas_price"
"13",2.8732511818,4.7333485E+1,2.3443111E+1,3.0596820750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.4522623E+1,-0.203000E+1,-0.203000E+1,-1.623621E+1,-1.302502E+1,0.0000000000,4.7620442E+1,5.8029000E+1,2.0330000000,1.6096425E+4,0.0000000000,0.0000000000,0.0000000000
"14",2.9082660766,4.6820164E+1,1.3855581E+1,2.8047085500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.2400000000,0.0000000000,0.0000000000,0.0000000000,3.7066757E+1,-0.203000E+1,-0.203000E+1,-1.650694E+1,-1.302502E+1,0.0000000000,6.2233036E+1,5.9957500E+1,2.8838888889,1.6106845E+4,0.0000000000,0.0000000000,0.0000000000
"15",2.9442958949,4.7802338E+1,3.9718813465,2.6880637500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.3457063E+1,-0.203000E+1,-0.203000E+1,-0.675450E+1,-1.302502E+1,0.0000000000,7.7089286E+1,6.1886000E+1,0.3950000000,1.6117265E+4,0.0000000000,0.0000000000,0.0000000000
"16",2.9757585540,4.8575974E+1,0.0007561293,2.6469390000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1376459E+1,-0.203000E+1,-0.203000E+1,-0.272805E+1,-1.302502E+1,0.0000000000,8.3168334E+1,6.3814500E+1,2.4280000000,1.6127685E+4,0.0000000000,0.0000000000,0.0000000000
"17",2.9874301844,4.8620933E+1,0.0000000000,2.6155346250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.2245853E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.302502E+1,0.0000000000,8.5623580E+1,6.5743000E+1,4.4610000000,1.6138105E+4,0.0000000000,0.0000000000,0.0000000000
"18",2.9691615444,4.7877063E+1,0.0000000000,2.9654689500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.4032334E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.302502E+1,0.0000000000,8.5623580E+1,6.7671500E+1,6.4940000000,1.6148525E+4,0.0000000000,0.0000000000,0.0000000000
"19",2.9168929331,4.6791736E+1,0.0000000000,3.5083158000,0.0000000000,0.0000000000,0.0000000000,1.7356500000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.7012947E+1,-0.203000E+1,-0.203000E+1,-0.744630257,-1.302502E+1,0.0000000000,8.5623580E+1,6.9600000E+1,8.5270000000,1.6158945E+4,0.0000000000,0.0000000000,0.0000000000
"20",2.8580273157,4.4980005E+1,0.0000000000,3.7221645000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7709267302,0.0000000000,0.0000000000,0.0000000000,4.0357967E+1,0.0000000000,0.0000000000,0.0000000000,-1.197316E+1,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6169365E+4,0.0000000000,3.3699044E+1,3.3699044E+1
"21",2.7778482809,4.3411963E+1,0.0000000000,3.6825351750,0.0000000000,0.0000000000,0.0000000000,0.0303099540,1.0587732698,0.0000000000,0.0000000000,0.0000000000,3.7936412E+1,0.0000000000,0.0000000000,0.0000000000,-1.302502E+1,0.0000000000,8.6293747E+1,6.9600000E+1,9.7034147442,1.6178944E+4,0.0000000000,3.3699044E+1,3.3699044E+1
"22",2.6717886730,4.2165529E+1,0.0000000000,3.6795443250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.5628504E+1,0.0000000000,0.0000000000,0.0000000000,-1.288836E+1,0.0000000000,8.6293747E+1,6.9566322E+1,8.5270000000,1.6189364E+4,0.0000000000,3.3699044E+1,3.3699044E+1
"23",2.5439081895,4.0364248E+1,0.0000000000,3.5935561500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1301244E+1,-0.035450239,-0.035450239,0.0000000000,-1.302502E+1,0.0000000000,8.6293747E+1,6.9566322E+1,8.5270000000,1.6199675E+4,0.0000000000,2.8812683E+1,2.8812683E+1
"24",2.4424157443,3.8753520E+1,0.0000000000,3.2540900250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.2152517E+1,0.0000000000,0.0000000000,0.0000000000,-1.229751E+1,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6210095E+4,0.0000000000,3.3699044E+1,3.3699044E+1
"25",2.3627441712,3.7742454E+1,0.0000000000,2.7067568250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.4469008E+1,0.0000000000,0.0000000000,0.0000000000,-0.834295E+1,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6219933E+4,0.0000000000,3.3699044E+1,3.3699044E+1
"26",2.2805352894,3.6802489E+1,0.0000000000,2.3321476500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1906138E+1,0.0000000000,0.0000000000,0.0000000000,-0.950903E+1,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6226607E+4,0.0000000000,3.3699044E+1,3.3699044E+1
"27",2.2155801242,3.5864298E+1,0.0000000000,2.1654054750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1549331E+1,0.0000000000,0.0000000000,0.0000000000,-0.869595E+1,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6234214E+4,0.0000000000,3.3699044E+1,3.3699044E+1
"28",2.1323563154,3.5689506E+1,0.0000000000,2.1459646500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1287389E+1,0.0000000000,0.0000000000,0.0000000000,-0.868044E+1,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6241171E+4,0.0000000000,3.3699044E+1,3.3699044E+1
"29",2.0141176154,3.4815235E+1,0.0000000000,2.1698918250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.0085701E+1,0.0000000000,0.0000000000,0.0000000000,-0.891354E+1,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6248115E+4,0.0000000000,3.3699044E+1,3.3699044E+1
"30",1.8496998519,3.2831483E+1,0.0000000000,2.2282142250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1403886E+1,0.0000000000,0.0000000000,0.0000000000,-0.550551E+1,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6255246E+4,0.0000000000,3.3699044E+1,3.3699044E+1
"31",1.6558492762,3.0419496E+1,1.1739033542,2.3284090500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5173763502,0.0000000000,0.0000000000,0.0000000000,3.5167604E+1,0.0000000000,0.0000000000,0.0000000000,-0.927430249,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6259651E+4,0.0000000000,3.3699044E+1,3.3699044E+1
"32",1.4345957422,2.6588712E+1,1.1621197E+1,2.4951513000,0.0000000000,0.0000000000,0.0000000000,0.2532209158,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.5826121E+1,0.0000000000,0.0000000000,0.0000000000,-0.656676E+1,0.0000000000,8.6293747E+1,6.9600000E+1,9.9851373886,1.6260392E+4,0.0000000000,3.3699044E+1,3.3699044E+1
"33",1.1204766160,2.2116911E+1,2.4487647E+1,2.8764899250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.8522632949,0.0000000000,0.0000000000,0.0000000000,3.9428769E+1,0.0000000000,0.0000000000,0.0000000000,-1.302502E+1,0.0000000000,8.6293747E+1,6.9318643E+1,9.9851373886,1.6265646E+4,0.0000000000,3.3699044E+1,3.3699044E+1
"34",0.8043276428,2.0509056E+1,3.8162823E+1,3.2174515500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.1427205E+1,0.0000000000,0.0000000000,0.0000000000,-1.126645E+1,0.0000000000,8.6293747E+1,6.9318643E+1,7.9270670609,1.6276066E+4,0.0000000000,3.3699044E+1,3.3699044E+1
"35",0.5932233541,2.0885936E+1,4.6482885E+1,3.4395252750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.5940387E+1,-0.296164814,-0.296164814,0.0000000000,-1.302502E+1,0.0000000000,8.6293747E+1,6.9318643E+1,7.9270670609,1.6285079E+4,0.0000000000,2.8812683E+1,2.8812683E+1
"36",0.4668652558,2.1053262E+1,4.7986706E+1,3.7296417750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.9579948E+1,0.0000000000,0.0000000000,0.0000000000,-1.302502E+1,0.0000000000,8.6293747E+1,6.9600000E+1,9.9600670609,1.6295499E+4,0.0000000000,2.8812683E+1,2.8812683E+1
"37",0.4374324471,2.1293114E+1,4.1718190E+1,3.6414104250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.7831969E+1,0.0000000000,0.0000000000,0.0000000000,-0.925818E+1,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6305919E+4,0.0000000000,3.3699044E+1,3.3699044E+1
"38",0.4496115428,2.0970735E+1,2.9838757E+1,3.3056829000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.4266645E+1,0.0000000000,0.0000000000,0.0000000000,-0.298141672,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6313326E+4,0.0000000000,3.3699044E+1,3.3699044E+1
"39",0.4871637462,2.2391034E+1,1.0080093E+1,2.9714507250,1.2855000E+1,2.0701686673,2.0701686673,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.0854910E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"40",0.4886861350,2.3665985E+1,0.0425733683,3.0723933000,0.0000000000,1.2935599E+1,1.2935599E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.0205237E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"41",0.4333727497,2.2637118E+1,0.0000000000,3.3826983000,9.1483602758,4.9806443183,4.9806443183,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.0582194E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"42",0.3531937149,2.0210887E+1,0.0000000000,3.7827300750,1.2855000E+1,8.7536943401,8.7536943401,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.5955505E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"43",0.2841788523,1.7598573E+1,0.0000000000,4.1311689000,2.4300401182,2.4841685E+1,2.4841685E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.9285646E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"44",0.2415520244,1.5374907E+1,0.0000000000,4.0593875250,0.0000000000,2.4195479E+1,2.4195479E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.3871325E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"45",0.1984177349,1.3903636E+1,0.0000000000,3.8223594000,5.0544921805,2.0190551E+1,2.0190551E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.3169456E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"46",0.1557909070,1.2987915E+1,0.0000000000,3.6832829250,2.6142121208,2.4841685E+1,2.4841685E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.4282885E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
