"hour","offshore","onshore","pv","river","lake","biogas","gas","phs1","phs2","battery","hydrogen","methanation","demand","Pump1","Pump2","ElecStr","H2","CH4","Bat_SOC","PHS1_SOC","PHS2_SOC","H2_SOC","CH4_SOC","elec_price","gas_price"
"13",0.0000000000,5.0559220E+1,2.2924826E+1,3.0596820750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.4522623E+1,-0.203000E+1,-0.203000E+1,-1.262744E+1,-1.522366E+1,0.0000000000,2.6668313E+1,6.3814500E+1,8.5270000000,1.0256285E+4,0.0000000000,0.0000000000,0.0000000000
"14",0.0000000000,5.0010917E+1,1.3549259E+1,2.8047085500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.8297000000,0.0000000000,0.0000000000,0.0000000000,3.7066757E+1,0.0000000000,0.0000000000,-1.590416E+1,-1.522366E+1,0.0000000000,3.8033010E+1,6.5743000E+1,1.0560000E+1,1.0268464E+4,0.0000000000,0.0000000000,0.0000000000
"15",0.0000000000,5.1060025E+1,3.8840702621,2.6880637500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.3457063E+1,0.0000000000,0.0000000000,-0.895143E+1,-1.522366E+1,0.0000000000,5.2346757E+1,6.5743000E+1,8.5270000000,1.0280643E+4,0.0000000000,0.0000000000,0.0000000000
"16",0.0000000000,5.1886384E+1,0.0007394127,2.6469390000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1376459E+1,0.0000000000,0.0000000000,-0.793394E+1,-1.522366E+1,0.0000000000,6.0403045E+1,6.5743000E+1,8.5270000000,1.0292822E+4,0.0000000000,0.0000000000,0.0000000000
"17",0.0000000000,5.1934407E+1,0.0000000000,2.6155346250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.2245853E+1,-0.203000E+1,-0.203000E+1,-0.505042E+1,-1.522366E+1,0.0000000000,6.7543590E+1,6.5743000E+1,8.5270000000,1.0305001E+4,0.0000000000,0.0000000000,0.0000000000
"18",0.0000000000,5.1139843E+1,0.0000000000,2.9654689500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.4032334E+1,-0.203000E+1,-0.203000E+1,-0.679312737,-1.522366E+1,0.0000000000,7.2088972E+1,6.7671500E+1,8.5270000000,1.0317180E+4,0.0000000000,0.0000000000,0.0000000000
"19",0.0000000000,4.9980552E+1,0.0000000000,3.5083158000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.7012947E+1,0.0000000000,0.0000000000,-0.125226E+1,-1.522366E+1,0.0000000000,7.2700354E+1,6.9600000E+1,1.0560000E+1,1.0329358E+4,0.0000000000,0.0000000000,0.0000000000
"20",0.0000000000,4.8045353E+1,0.0000000000,3.7221645000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.0357967E+1,0.0000000000,0.0000000000,0.0000000000,-1.140955E+1,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0341537E+4,0.0000000000,3.9269981E+1,3.9269981E+1
"21",0.0000000000,4.6370451E+1,0.0000000000,3.6825351750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.7936412E+1,0.0000000000,0.0000000000,0.0000000000,-1.211657E+1,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0350665E+4,0.0000000000,3.9269981E+1,3.9269981E+1
"22",0.0000000000,4.5039073E+1,0.0000000000,3.6795443250,0.0000000000,0.0000000000,0.0000000000,0.1570495566,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.5628504E+1,0.0000000000,0.0000000000,0.0000000000,-1.324716E+1,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0360358E+4,0.0000000000,3.9269981E+1,3.9269981E+1
"23",0.0000000000,4.3115037E+1,0.0000000000,3.5935561500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1301244E+1,-0.183683692,-0.183683692,0.0000000000,-1.522366E+1,0.0000000000,7.3827385E+1,6.9425500E+1,1.0560000E+1,1.0370956E+4,0.0000000000,3.3575833E+1,3.3575833E+1
"24",0.0000000000,4.1394539E+1,0.0000000000,3.2540900250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.2152517E+1,0.0000000000,0.0000000000,0.0000000000,-1.249611E+1,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0383135E+4,0.0000000000,3.9269981E+1,3.9269981E+1
"25",0.0000000000,4.0314569E+1,0.0000000000,2.7067568250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.4469008E+1,0.0000000000,0.0000000000,0.0000000000,-0.855232E+1,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0393132E+4,0.0000000000,3.9269981E+1,3.9269981E+1
