"hour","offshore","onshore","pv","river","lake","biogas","gas","phs1","phs2","battery","hydrogen","methanation","demand","Pump1","Pump2","ElecStr","H2","CH4","Bat_SOC","PHS1_SOC","PHS2_SOC","H2_SOC","CH4_SOC","elec_price","gas_price"
"13",1.3463981E+1,3.9513304E+1,2.5177292E+1,3.0596820750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.4522623E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,0.0000000000,3.4713000E+1,0.0000000000,0.0000000000,2.8856726E+3,0.0000000000,0.0000000000
"14",1.3628060E+1,3.9084792E+1,1.4880534E+1,2.8047085500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.7066757E+1,-0.203000E+1,-0.203000E+1,-1.681469E+1,0.0000000000,-0.660222E+1,0.0000000000,3.6641500E+1,2.0330000000,0.0000000000,2.8895679E+3,0.0000000000,0.0000000000
"15",1.3796894E+1,3.9904696E+1,4.2656973755,2.6880637500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.3457063E+1,-0.203000E+1,-0.203000E+1,-1.856607E+1,0.0000000000,-0.660222E+1,1.5133220E+1,3.8570000E+1,2.0330000000,0.0000000000,2.8934632E+3,0.0000000000,0.0000000000
"16",1.3944328E+1,4.0550516E+1,0.0008120632,2.6469390000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1376459E+1,-0.123238E+1,-0.123238E+1,-1.793154E+1,0.0000000000,-0.660222E+1,3.1842683E+1,4.0498500E+1,2.0330000000,0.0000000000,2.8973585E+3,0.0000000000,0.0000000000
"17",1.3999021E+1,4.0588047E+1,0.0000000000,2.6155346250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.2245853E+1,-0.203000E+1,-0.203000E+1,-1.632453E+1,0.0000000000,-0.660222E+1,4.7981066E+1,4.1669263E+1,2.0330000000,0.0000000000,2.9012538E+3,0.0000000000,0.0000000000
"18",1.3913414E+1,3.9967075E+1,0.0000000000,2.9654689500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.4032334E+1,0.0000000000,0.0000000000,-1.621141E+1,0.0000000000,-0.660222E+1,6.2673145E+1,4.3597763E+1,2.0330000000,0.0000000000,2.9051492E+3,0.0000000000,0.0000000000
"19",1.3668485E+1,3.9061060E+1,0.0000000000,3.5083158000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.7012947E+1,0.0000000000,0.0000000000,-1.262270E+1,0.0000000000,-0.660222E+1,7.7263411E+1,4.3597763E+1,2.0330000000,0.0000000000,2.9090445E+3,0.0000000000,0.0000000000
"20",1.3392642E+1,3.7548654E+1,0.0000000000,3.7221645000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.0357967E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,8.8623838E+1,4.3597763E+1,2.0330000000,0.0000000000,2.9129398E+3,0.0000000000,0.0000000000
"21",1.3016925E+1,3.6239675E+1,0.0000000000,3.6825351750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.7936412E+1,0.0000000000,0.0000000000,-0.840051E+1,0.0000000000,-0.660222E+1,8.8623838E+1,4.5526263E+1,2.0330000000,0.0000000000,2.9168351E+3,0.0000000000,0.0000000000
"22",1.2519933E+1,3.5199170E+1,0.0000000000,3.6795443250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.5628504E+1,-0.203000E+1,-0.203000E+1,-0.713793E+1,0.0000000000,-0.660222E+1,9.6184293E+1,4.5526263E+1,2.0330000000,0.0000000000,2.9207304E+3,0.0000000000,0.0000000000
